Date,Closing price,50,200
2018-06-04,0.51,,
2018-06-05,0.55,,
2018-06-07,0.55,,
2018-06-08,0.516,,
2018-06-11,0.516,,
2018-06-12,0.516,,
2018-06-13,0.558,,
2018-06-14,0.514,,
2018-06-15,0.558,,
2018-06-18,0.554,,
2018-06-19,0.558,,
2018-06-20,0.56,,
2018-06-21,0.53,,
2018-06-25,0.648,,
2018-06-26,0.614,,
2018-06-27,0.596,,
2018-06-28,0.56,,
2018-06-29,0.56,,
2018-07-02,0.566,,
2018-07-03,0.566,,
2018-07-04,0.55,,
2018-07-05,0.568,,
2018-07-06,0.566,,
2018-07-09,0.558,,
2018-07-10,0.566,,
2018-07-11,0.532,,
2018-07-12,0.548,,
2018-07-13,0.568,,
2018-07-16,0.568,,
2018-07-17,0.568,,
2018-07-18,0.568,,
2018-07-19,0.528,,
2018-07-20,0.528,,
2018-07-23,0.524,,
2018-07-24,0.524,,
2018-07-25,0.508,,
2018-07-26,0.53,,
2018-07-27,0.59,,
2018-07-30,0.578,,
2018-07-31,0.526,,
2018-08-01,0.546,,
2018-08-02,0.598,,
2018-08-03,0.57,,
2018-08-06,0.57,,
2018-08-07,0.564,,
2018-08-08,0.624,,
2018-08-09,0.606,,
2018-08-10,0.606,,
2018-08-13,0.852,,
2018-08-14,0.788,,
2018-08-15,0.75,,
2018-08-16,0.75,,
2018-08-17,0.69,,
2018-08-20,0.646,,
2018-08-21,0.57,,
2018-08-22,0.612,,
2018-08-23,0.59,,
2018-08-24,0.602,,
2018-08-27,0.604,,
2018-08-28,0.59,,
2018-08-29,0.582,,
2018-08-30,0.77,,
2018-08-31,0.65,,
2018-09-03,0.63,,
2018-09-04,0.63,,
2018-09-05,0.612,,
2018-09-06,0.588,,
2018-09-07,0.512,,
2018-09-10,0.53,,
2018-09-11,0.54,,
2018-09-12,0.534,,
2018-09-13,0.598,,
2018-09-14,0.568,,
2018-09-17,0.638,,
2018-09-18,0.6,,
2018-09-19,0.608,,
2018-09-20,0.608,,
2018-09-21,0.62,,
2018-09-24,0.62,,
2018-09-25,0.64,,
2018-09-26,0.628,,
2018-09-27,0.604,,
2018-09-28,0.62,,
2018-10-01,0.632,,
2018-10-02,0.662,,
2018-10-03,0.668,,
2018-10-04,0.688,,
2018-10-05,0.648,,
2018-10-08,0.644,,
2018-10-09,0.62,,
2018-10-10,0.62,,
2018-10-11,0.62,,
2018-10-12,0.556,,
2018-10-15,0.58,,
2018-10-16,0.6,,
2018-10-17,0.614,,
2018-10-18,0.586,,
2018-10-19,0.58,,
2018-10-22,0.608,,
2018-10-23,0.59,,
2018-10-24,0.542,,
2018-10-25,0.578,,
2018-10-26,0.568,,
2018-10-29,0.572,,
2018-10-30,0.596,,
2018-10-31,0.542,,
2018-11-01,0.52,,
2018-11-02,0.52,,
2018-11-05,0.58,,
2018-11-06,0.586,,
2018-11-07,0.584,,
2018-11-08,0.53,,
2018-11-09,0.53,,
2018-11-12,0.53,,
2018-11-13,0.53,,
2018-11-14,0.53,,
2018-11-15,0.53,,
2018-11-16,0.528,,
2018-11-19,0.51,,
2018-11-20,0.51,,
2018-11-21,0.51,,
2018-11-22,0.51,,
2018-11-23,0.51,,
2018-11-26,0.518,,
2018-11-27,0.518,,
2018-11-28,0.46,,
2018-11-29,0.526,,
2018-11-30,0.526,,
2018-12-03,0.518,,
2018-12-04,0.498,,
2018-12-05,0.465,,
2018-12-06,0.46,,
2018-12-07,0.465,,
2018-12-10,0.461,,
2018-12-11,0.461,,
2018-12-12,0.504,,
2018-12-13,0.391,,
2018-12-14,0.47,,
2018-12-17,0.47,,
2018-12-18,0.47,,
2018-12-19,0.47,,
2018-12-20,0.42,,
2018-12-21,0.402,,
2018-12-27,0.351,,
2018-12-28,0.38,,
2019-01-02,0.379,,
2019-01-03,0.39,,
2019-01-04,0.39,,
2019-01-07,0.39,,
2019-01-08,0.39,,
2019-01-09,0.462,,
2019-01-10,0.465,,
2019-01-11,0.465,,
2019-01-14,0.46,,
2019-01-15,0.46,,
2019-01-16,0.41,,
2019-01-17,0.44,,
2019-01-18,0.42,,
2019-01-21,0.469,,
2019-01-22,0.463,,
2019-01-23,0.45,,
2019-01-24,0.45,,
2019-01-25,0.45,,
2019-01-28,0.45,,
2019-01-29,0.45,,
2019-01-30,0.45,,
2019-01-31,0.45,,
2019-02-01,0.45,,
2019-02-04,0.42,,
2019-02-05,0.45,,
2019-02-06,0.43,,
2019-02-07,0.44,,
2019-02-08,0.42,,
2019-02-11,0.42,,
2019-02-12,0.41,,
2019-02-13,0.439,,
2019-02-14,0.41,,
2019-02-15,0.41,,
2019-02-18,0.61,,
2019-02-19,0.544,,
2019-02-20,0.544,,
2019-02-21,0.508,,
2019-02-22,0.47,,
2019-02-25,0.48,,
2019-02-26,0.494,,
2019-02-27,0.463,,
2019-02-28,0.485,,
2019-03-01,0.485,,
2019-03-04,0.451,,
2019-03-05,0.444,,
2019-03-06,0.444,,
2019-03-07,0.421,,
2019-03-08,0.487,,
2019-03-11,0.47,,
2019-03-12,0.47,,
2019-03-13,0.488,,
2019-03-14,0.461,,
2019-03-15,0.438,,
2019-03-18,0.44,,
2019-03-19,0.451,,
2019-03-20,0.451,,
2019-03-21,0.451,,
2019-03-22,0.44,,
2019-03-25,0.435,,
2019-03-26,0.436,,
2019-03-27,0.436,,
2019-03-28,0.44,,
2019-03-29,0.48,,
2019-04-01,0.44,,
2019-04-02,0.44,,
2019-04-03,0.46,,
2019-04-04,0.5,,
2019-04-05,0.5,,
2019-04-08,0.468,,
2019-04-09,0.45,,
2019-04-10,0.45,,
2019-04-11,0.448,,
2019-04-12,0.43,,
2019-04-15,0.44,,
2019-04-16,0.452,,
2019-04-17,0.44,,
2019-04-18,0.45,,
2019-04-23,0.43,,
2019-04-24,0.42,,
2019-04-25,0.43,,
2019-04-26,0.404,,
2019-04-29,0.42,,
2019-04-30,0.42,,
2019-05-02,0.426,,
2019-05-03,0.426,,
2019-05-06,0.424,,
2019-05-07,0.424,,
2019-05-08,0.422,,
2019-05-09,0.422,,
2019-05-10,0.422,,
2019-05-13,0.408,,
2019-05-14,0.414,,
2019-05-15,0.39,,
2019-05-16,0.39,,
2019-05-17,0.418,,
2019-05-20,0.39,,
2019-05-21,0.39,0.4386399999999999,0.5087850000000003
2019-05-22,0.39,0.43669999999999987,0.5078850000000003
2019-05-23,0.39,0.43509999999999993,0.5069850000000004
2019-05-24,0.418,0.43406,0.5062550000000003
2019-05-27,0.418,0.43266,0.5052250000000004
2019-05-28,0.418,0.4318000000000001,0.5042850000000003
2019-05-29,0.418,0.43140000000000006,0.5033450000000004
2019-05-31,0.39,0.43040000000000006,0.5010350000000003
2019-06-03,0.4,0.42938000000000004,0.49909500000000034
2019-06-04,0.4,0.42835999999999996,0.4973450000000003
