Date,Closing price,50,200
2018-06-04,230.0,,
2018-06-06,230.5,,
2018-06-07,224.0,,
2018-06-08,228.5,,
2018-06-11,230.0,,
2018-06-12,230.5,,
2018-06-13,230.0,,
2018-06-14,235.0,,
2018-06-15,230.5,,
2018-06-18,227.5,,
2018-06-19,224.5,,
2018-06-20,225.5,,
2018-06-21,225.0,,
2018-06-22,230.0,,
2018-06-25,228.5,,
2018-06-26,226.5,,
2018-06-27,230.0,,
2018-06-28,225.0,,
2018-06-29,225.5,,
2018-07-02,220.0,,
2018-07-03,217.5,,
2018-07-04,212.5,,
2018-07-05,214.5,,
2018-07-06,216.0,,
2018-07-09,216.5,,
2018-07-10,220.0,,
2018-07-11,219.0,,
2018-07-12,225.0,,
2018-07-13,225.0,,
2018-07-16,228.5,,
2018-07-17,223.0,,
2018-07-18,223.0,,
2018-07-19,224.5,,
2018-07-20,224.0,,
2018-07-23,224.0,,
2018-07-24,227.5,,
2018-07-25,225.0,,
2018-07-26,225.5,,
2018-07-27,225.5,,
2018-07-30,227.0,,
2018-07-31,227.5,,
2018-08-01,226.5,,
2018-08-02,225.5,,
2018-08-03,228.5,,
2018-08-06,229.5,,
2018-08-07,226.0,,
2018-08-08,224.0,,
2018-08-09,220.0,,
2018-08-10,221.0,,
2018-08-13,222.5,,
2018-08-14,244.5,,
2018-08-15,240.5,,
2018-08-16,247.0,,
2018-08-17,243.5,,
2018-08-20,242.0,,
2018-08-21,248.0,,
2018-08-22,248.5,,
2018-08-23,261.5,,
2018-08-24,261.0,,
2018-08-27,262.0,,
2018-08-28,259.0,,
2018-08-29,263.0,,
2018-08-30,256.0,,
2018-08-31,256.0,,
2018-09-03,257.5,,
2018-09-04,257.0,,
2018-09-05,254.0,,
2018-09-06,255.5,,
2018-09-07,255.0,,
2018-09-10,253.5,,
2018-09-11,253.5,,
2018-09-12,248.5,,
2018-09-13,252.5,,
2018-09-14,250.5,,
2018-09-17,250.0,,
2018-09-18,249.0,,
2018-09-19,249.5,,
2018-09-20,245.0,,
2018-09-21,246.5,,
2018-09-24,242.0,,
2018-09-25,241.0,,
2018-09-26,244.0,,
2018-09-27,243.0,,
2018-09-28,243.0,,
2018-10-01,244.5,,
2018-10-02,242.0,,
