Date,Closing price,50,200
2018-06-04,6.39,,
2018-06-05,7.235,,
2018-06-06,7.755,,
2018-06-07,3.99,,
2018-06-08,4.0,,
2018-06-11,3.86,,
2018-06-12,3.98,,
2018-06-13,3.88,,
2018-06-14,3.604,,
2018-06-15,3.458,,
2018-06-18,3.436,,
2018-06-19,3.34,,
2018-06-20,3.388,,
2018-06-21,3.262,,
2018-06-22,3.306,,
2018-06-25,3.14,,
2018-06-26,3.244,,
2018-06-27,3.452,,
2018-06-28,3.264,,
2018-06-29,3.216,,
2018-07-02,3.08,,
2018-07-03,3.132,,
2018-07-04,3.154,,
2018-07-05,3.136,,
2018-07-06,3.08,,
2018-07-09,3.112,,
2018-07-10,3.136,,
2018-07-11,3.084,,
2018-07-12,3.07,,
2018-07-13,3.032,,
2018-07-16,2.952,,
2018-07-17,2.87,,
2018-07-18,2.95,,
2018-07-19,3.29,,
2018-07-20,3.04,,
2018-07-23,2.972,,
2018-07-24,3.036,,
2018-07-25,3.016,,
2018-07-26,3.12,,
2018-07-27,3.134,,
2018-07-30,3.07,,
2018-07-31,3.15,,
2018-08-01,3.12,,
2018-08-02,3.084,,
2018-08-03,3.09,,
2018-08-06,3.1,,
2018-08-07,3.15,,
2018-08-08,3.182,,
2018-08-09,3.18,,
2018-08-10,3.134,,
2018-08-13,3.0,,
2018-08-14,2.974,,
2018-08-15,2.92,,
2018-08-16,2.92,,
2018-08-17,2.786,,
2018-08-20,2.53,,
2018-08-21,2.71,,
2018-08-22,2.722,,
2018-08-23,2.794,,
2018-08-24,2.79,,
2018-08-27,2.96,,
2018-08-28,3.15,,
2018-08-29,3.15,,
2018-08-30,3.092,,
2018-08-31,3.0,,
2018-09-03,3.02,,
2018-09-04,2.962,,
2018-09-05,2.87,,
2018-09-06,2.872,,
2018-09-07,2.85,,
2018-09-10,2.86,,
2018-09-11,2.91,,
2018-09-12,3.018,,
2018-09-13,2.972,,
2018-09-14,3.136,,
2018-09-17,3.22,,
2018-09-18,3.25,,
2018-09-19,3.25,,
2018-09-20,3.25,,
2018-09-21,3.2,,
2018-09-24,3.174,,
2018-09-25,3.15,,
