Date,Closing price,50,200
2018-06-04,1.15,,
2018-06-05,1.169,,
2018-06-06,1.12,,
2018-06-07,1.102,,
2018-06-08,1.085,,
2018-06-11,1.038,,
2018-06-12,1.051,,
2018-06-13,1.055,,
2018-06-14,1.045,,
2018-06-15,1.002,,
2018-06-18,1.025,,
2018-06-19,1.002,,
2018-06-20,0.996,,
2018-06-21,0.997,,
2018-06-22,0.985,,
2018-06-25,0.9455,,
2018-06-26,0.906,,
2018-06-27,0.937,,
2018-06-28,0.908,,
2018-06-29,0.916,,
2018-07-02,0.764,,
2018-07-03,0.7235,,
2018-07-04,0.8015,,
2018-07-05,0.777,,
2018-07-06,0.8015,,
2018-07-09,0.825,,
2018-07-10,0.8985,,
2018-07-11,0.8325,,
2018-07-12,0.855,,
2018-07-13,0.845,,
2018-07-16,0.8145,,
2018-07-17,0.8105,,
2018-07-18,0.825,,
2018-07-19,0.8075,,
2018-07-20,0.7735,,
2018-07-23,0.7625,,
2018-07-24,0.7495,,
2018-07-25,0.758,,
2018-07-26,0.802,,
2018-07-27,0.811,,
2018-07-30,0.781,,
2018-07-31,0.816,,
2018-08-01,0.819,,
2018-08-02,0.799,,
2018-08-03,0.796,,
2018-08-06,0.7825,,
2018-08-07,0.779,,
2018-08-08,0.77,,
2018-08-09,0.7705,,
2018-08-10,0.7705,,
2018-08-13,0.7625,,
2018-08-14,0.758,,
2018-08-15,0.7505,,
2018-08-16,0.76,,
2018-08-17,0.76,,
2018-08-20,0.76,,
2018-08-21,0.759,,
2018-08-22,0.799,,
2018-08-23,0.7785,,
2018-08-24,0.771,,
2018-08-27,0.751,,
2018-08-28,0.732,,
2018-08-29,0.712,,
2018-08-30,0.715,,
2018-08-31,0.7115,,
2018-09-03,0.691,,
2018-09-04,0.6865,,
2018-09-05,0.685,,
2018-09-06,0.745,,
2018-09-07,0.7235,,
2018-09-10,0.6915,,
2018-09-11,0.6825,,
2018-09-12,0.693,,
2018-09-13,0.675,,
2018-09-14,0.6675,,
2018-09-17,0.651,,
2018-09-18,0.64,,
2018-09-19,0.6205,,
2018-09-20,0.655,,
2018-09-21,0.7,,
2018-09-24,0.651,,
2018-09-25,0.6705,,
2018-09-26,0.649,,
2018-09-27,0.646,,
2018-09-28,0.6315,,
2018-10-01,0.6285,,
2018-10-02,0.631,,
2018-10-03,0.6395,,
2018-10-04,0.61,,
2018-10-05,0.591,,
2018-10-08,0.5785,,
2018-10-09,0.5785,,
2018-10-10,0.572,,
