Date,Closing price,50,200
2018-09-17,3.6,,
2018-10-15,2.75,,
2018-11-12,2.8,,
2018-11-15,2.8,,
2018-12-10,5.4,,
2019-02-11,5.8,,
2019-04-11,5.8,,
2019-04-12,5.8,,
2019-04-15,5.8,,
2019-04-16,5.8,,
2019-04-17,5.8,,
2019-04-18,5.8,,
2019-04-23,5.8,,
2019-04-24,5.8,,
2019-04-25,5.8,,
2019-04-26,5.8,,
2019-04-29,5.8,,
2019-04-30,5.8,,
2019-05-02,5.8,,
2019-05-03,5.8,,
2019-05-06,5.8,,
2019-05-07,5.8,,
2019-05-08,5.8,,
2019-05-09,5.8,,
2019-05-10,5.8,,
2019-05-13,5.8,,
2019-05-14,5.8,,
2019-05-15,5.8,,
2019-05-16,5.8,,
2019-05-17,5.8,3.247,0.81175
2019-05-20,5.6,3.3590000000000004,0.8397500000000001
2019-05-21,5.6,3.471000000000001,0.8677500000000002
2019-05-22,5.6,3.5830000000000006,0.8957500000000002
2019-05-23,5.6,3.695000000000001,0.9237500000000003
2019-05-24,5.6,3.807000000000001,0.9517500000000002
2019-05-27,5.6,3.9190000000000014,0.9797500000000003
2019-05-28,5.6,4.031000000000002,1.0077500000000006
2019-05-29,5.6,4.1430000000000025,1.0357500000000006
2019-05-31,5.6,4.255000000000003,1.0637500000000006
