Date,Closing price,50,200
2018-07-26,165.0,,
2018-07-27,168.0,,
2018-07-30,169.0,,
2018-07-31,161.0,,
2018-08-01,164.0,,
2018-08-02,164.5,,
2018-08-03,164.0,,
2018-08-06,164.0,,
2018-08-07,162.0,,
2018-08-08,163.0,,
2018-08-09,161.0,,
2018-08-10,159.0,,
2018-08-13,157.62,,
2018-08-14,155.08,,
2018-08-15,156.0,,
2018-08-16,145.0,,
2018-08-17,146.0,,
2018-08-20,150.98,,
2018-08-21,154.0,,
2018-08-22,152.1,,
2018-08-23,154.48,,
2018-08-24,159.0,,
2018-08-27,163.5,,
2018-08-28,163.0,,
2018-08-29,159.32,,
2018-08-30,163.0,,
2018-08-31,163.0,,
2018-09-03,164.8,,
2018-09-04,168.88,,
2018-09-05,162.56,,
2018-09-06,161.0,,
2018-09-07,162.0,,
2018-09-10,160.0,,
2018-09-11,161.5,,
2018-09-12,169.0,,
2018-09-13,166.98,,
2018-09-14,172.0,,
2018-09-17,173.8,,
2018-09-18,176.02,,
2018-09-19,187.42,,
2018-09-20,189.0,,
2018-09-21,199.5,,
2018-09-24,201.0,,
2018-09-25,202.0,,
2018-09-26,198.64,,
2018-09-27,199.0,,
2018-09-28,204.0,,
2018-10-01,207.0,,
2018-10-02,210.6,,
2018-10-03,207.05,,
2018-10-04,210.0,,
2018-10-05,207.0,,
2018-10-08,208.5,,
2018-10-09,216.0,,
2018-10-10,212.55,,
2018-10-11,205.6,,
2018-10-12,201.25,,
2018-10-15,199.0,,
2018-10-16,200.1,,
2018-10-17,200.55,,
2018-10-18,198.0,,
2018-10-19,201.9,,
2018-10-22,193.6,,
2018-10-23,180.72,,
2018-10-24,179.0,,
2018-10-25,173.2,,
2018-10-26,169.36,,
2018-10-29,165.0,,
2018-10-30,157.0,,
2018-10-31,174.0,,
2018-11-01,169.3,,
2018-11-02,166.5,,
2018-11-05,165.0,,
2018-11-06,167.98,,
2018-11-07,171.0,,
2018-11-08,164.82,,
2018-11-09,152.76,,
2018-11-12,152.3,,
2018-11-13,143.5,,
2018-11-14,143.1,,
2018-11-15,137.82,,
2018-11-16,142.9,,
2018-11-19,135.0,,
2018-11-20,123.4,,
2018-11-21,123.1,,
2018-11-22,124.0,,
2018-11-23,122.34,,
2018-11-26,126.5,,
2018-11-27,128.98,,
2018-11-28,123.0,,
2018-11-29,127.0,,
2018-11-30,122.5,,
2018-12-03,124.7,,
2018-12-04,125.8,,
2018-12-05,124.5,,
2018-12-06,114.08,,
2018-12-07,118.4,,
2018-12-10,114.0,,
2018-12-11,108.2,,
2018-12-12,106.64,,
2018-12-13,97.18,,
2018-12-14,90.6,,
2018-12-17,89.01,,
2018-12-18,81.25,,
2018-12-19,79.4,,
2018-12-20,74.75,,
2018-12-21,76.88,,
2018-12-27,73.97,,
2018-12-28,80.04,,
2019-01-02,84.16,,
