Date,Closing price,50,200
2018-06-04,30.2,,
2018-06-05,30.45,,
2018-06-06,30.4,,
2018-06-07,30.35,,
2018-06-08,30.8,,
2018-06-11,30.1,,
2018-06-12,30.5,,
2018-06-13,30.6,,
2018-06-14,30.4,,
2018-06-15,30.2,,
2018-06-18,30.15,,
2018-06-19,30.2,,
2018-06-20,30.2,,
2018-06-21,29.9,,
2018-06-22,29.8,,
2018-06-25,30.1,,
2018-06-26,30.2,,
2018-06-27,30.25,,
2018-06-28,30.2,,
2018-06-29,30.3,,
2018-07-02,30.2,,
2018-07-03,30.1,,
2018-07-04,29.95,,
2018-07-05,29.5,,
2018-07-06,29.1,,
2018-07-09,28.7,,
2018-07-10,28.45,,
2018-07-11,28.8,,
2018-07-12,28.25,,
2018-07-13,28.0,,
2018-07-16,27.9,,
2018-07-17,27.4,,
2018-07-18,28.6,,
2018-07-19,28.8,,
2018-07-20,29.0,,
2018-07-23,28.6,,
2018-07-24,28.6,,
2018-07-25,28.1,,
2018-07-26,28.3,,
2018-07-27,27.9,,
2018-07-30,27.8,,
2018-07-31,27.75,,
2018-08-01,28.1,,
2018-08-02,28.65,,
2018-08-03,28.65,,
2018-08-06,28.5,,
2018-08-07,27.8,,
2018-08-08,27.7,,
2018-08-09,27.9,,
2018-08-10,27.7,,
2018-08-13,27.25,,
2018-08-14,26.4,,
2018-08-15,27.5,,
2018-08-16,27.4,,
2018-08-17,26.75,,
2018-08-20,26.2,,
2018-08-21,27.1,,
2018-08-22,28.0,,
2018-08-23,28.8,,
2018-08-24,28.8,,
2018-08-27,28.9,,
2018-08-28,28.95,,
2018-08-29,28.8,,
2018-08-30,28.7,,
2018-08-31,28.7,,
2018-09-03,28.7,,
2018-09-04,28.3,,
2018-09-05,28.75,,
2018-09-06,29.1,,
2018-09-07,28.95,,
2018-09-10,29.3,,
2018-09-11,28.8,,
2018-09-12,29.5,,
2018-09-13,29.1,,
2018-09-14,29.1,,
2018-09-17,29.3,,
2018-09-18,29.25,,
2018-09-19,29.0,,
2018-09-20,29.2,,
2018-09-21,29.2,,
2018-09-24,28.8,,
2018-09-25,29.15,,
2018-09-26,29.2,,
2018-09-27,29.0,,
2018-09-28,28.4,,
2018-10-01,28.0,,
2018-10-02,28.05,,
2018-10-03,27.3,,
2018-10-04,27.5,,
2018-10-05,27.25,,
2018-10-08,27.6,,
2018-10-09,27.0,,
2018-10-10,27.0,,
2018-10-11,27.3,,
2018-10-12,27.5,,
2018-10-15,27.7,,
2018-10-16,29.0,,
2018-10-17,29.25,,
2018-10-18,29.2,,
2018-10-19,29.4,,
2018-10-22,28.35,,
2018-10-23,28.0,,
2018-10-24,28.3,,
2018-10-25,28.3,,
2018-10-26,28.0,,
2018-10-29,27.6,,
2018-10-30,27.3,,
2018-10-31,28.0,,
2018-11-01,27.5,,
2018-11-02,27.75,,
2018-11-05,28.8,,
2018-11-06,29.3,,
2018-11-07,29.15,,
2018-11-08,28.55,,
2018-11-09,28.0,,
2018-11-12,28.9,,
2018-11-13,29.0,,
2018-11-14,29.9,,
2018-11-15,30.0,,
2018-11-16,30.7,,
2018-11-19,30.15,,
2018-11-20,30.05,,
2018-11-21,30.8,,
2018-11-22,31.8,,
2018-11-23,32.35,,
2018-11-26,31.6,,
2018-11-27,32.0,,
2018-11-28,34.25,,
2018-11-29,36.0,,
2018-11-30,37.2,,
2018-12-03,39.0,,
2018-12-04,39.4,,
2018-12-05,37.85,,
2018-12-06,35.3,,
2018-12-07,36.3,,
2018-12-10,35.95,,
2018-12-11,36.65,,
2018-12-12,37.8,,
2018-12-13,38.65,,
2018-12-14,39.15,,
2018-12-17,37.8,,
2018-12-18,37.0,,
2018-12-19,37.6,,
2018-12-20,38.5,,
2018-12-21,38.6,,
2018-12-27,37.0,,
2018-12-28,38.2,,
2019-01-02,38.9,,
2019-01-03,38.95,,
2019-01-04,38.2,,
2019-01-07,36.6,,
2019-01-08,36.5,,
2019-01-09,36.6,,
2019-01-10,36.65,,
2019-01-11,36.35,,
2019-01-14,35.7,,
2019-01-15,36.35,,
2019-01-16,36.65,,
2019-01-17,37.0,,
2019-01-18,36.0,,
2019-01-21,36.3,,
2019-01-22,36.5,,
2019-01-23,36.3,,
2019-01-24,35.8,,
2019-01-25,35.8,,
2019-01-28,35.65,,
2019-01-29,35.2,,
2019-01-30,35.0,,
2019-01-31,35.85,,
2019-02-01,37.5,,
2019-02-04,37.45,,
2019-02-05,37.0,,
2019-02-06,37.0,,
2019-02-07,36.0,,
2019-02-08,36.4,,
2019-02-11,35.5,,
2019-02-12,35.5,,
2019-02-13,36.1,,
2019-02-14,35.55,,
2019-02-15,36.1,,
2019-02-18,36.35,,
2019-02-19,35.0,,
2019-02-20,35.5,,
2019-02-21,35.75,,
2019-02-22,36.2,,
2019-02-25,35.25,,
2019-02-26,36.45,,
2019-02-27,35.3,,
2019-02-28,36.0,,
2019-03-01,35.9,,
2019-03-04,35.2,,
2019-03-05,35.0,,
2019-03-06,35.0,,
2019-03-07,35.2,,
2019-03-08,35.6,,
2019-03-11,35.2,,
2019-03-12,34.9,,
2019-03-13,35.6,,
2019-03-14,36.0,,
2019-03-15,37.0,,
2019-03-18,37.3,,
2019-03-19,37.5,,
2019-03-20,37.4,,
2019-03-21,36.1,,
2019-03-22,37.1,,
2019-03-25,36.2,,
2019-03-26,36.1,,
2019-03-27,36.55,,
2019-03-28,36.0,,
2019-03-29,36.1,,
2019-04-01,36.0,,
2019-04-02,36.0,,
2019-04-03,35.8,,
2019-04-04,35.8,,
2019-04-05,35.9,,
2019-04-08,36.1,,
2019-04-09,36.6,,
2019-04-10,35.6,,
2019-04-11,36.0,,
2019-04-12,36.0,,
2019-04-15,35.6,,
2019-04-16,36.7,,
2019-04-17,36.0,,
2019-04-18,36.0,,
2019-04-23,36.5,,
2019-04-24,36.5,,
2019-04-25,37.1,,
2019-04-26,36.8,,
2019-04-29,39.0,,
2019-04-30,39.2,,
2019-05-02,39.7,,
2019-05-03,39.6,,
2019-05-06,39.5,,
2019-05-07,40.0,,
2019-05-08,39.0,,
2019-05-09,39.0,,
2019-05-10,39.0,,
2019-05-13,39.3,,
2019-05-14,39.3,,
2019-05-15,38.2,,
2019-05-16,37.8,36.909,33.249
2019-05-20,38.5,36.979,33.302749999999996
2019-05-21,39.2,37.062999999999995,33.35825
2019-05-22,39.0,37.13899999999999,33.41
2019-05-23,38.0,37.18699999999999,33.45675
2019-05-24,37.9,37.24099999999999,33.50375
2019-05-27,37.5,37.292999999999985,33.55225
2019-05-28,38.3,37.34699999999999,33.60525
2019-05-29,37.6,37.37899999999999,33.653749999999995
2019-05-31,38.0,37.39899999999999,33.70525
