Date,Closing price,50,200
2018-06-04,107.0,,
2018-06-06,107.5,,
2018-06-07,107.0,,
2018-06-08,106.0,,
2018-06-11,107.0,,
2018-06-12,107.0,,
2018-06-13,106.0,,
2018-06-14,106.5,,
2018-06-15,106.0,,
2018-06-18,107.5,,
2018-06-19,106.0,,
2018-06-20,106.0,,
2018-06-21,105.0,,
2018-06-22,104.5,,
2018-06-25,104.5,,
2018-06-26,104.0,,
2018-06-27,104.0,,
2018-06-28,103.5,,
2018-06-29,102.5,,
2018-07-02,99.6,,
2018-07-03,101.5,,
2018-07-04,100.5,,
2018-07-05,100.0,,
2018-07-06,101.0,,
2018-07-09,101.0,,
2018-07-10,101.0,,
2018-07-11,100.5,,
2018-07-12,102.0,,
2018-07-13,102.0,,
2018-07-16,101.5,,
2018-07-17,100.5,,
2018-07-18,101.0,,
2018-07-19,100.5,,
2018-07-20,101.0,,
2018-07-23,100.0,,
2018-07-24,99.8,,
2018-07-25,100.5,,
2018-07-26,100.5,,
2018-07-27,100.5,,
2018-07-30,100.5,,
2018-07-31,101.0,,
2018-08-01,100.5,,
2018-08-02,100.5,,
2018-08-03,100.0,,
2018-08-06,100.5,,
2018-08-07,100.5,,
2018-08-08,101.5,,
2018-08-09,101.5,,
2018-08-10,102.0,,
2018-08-13,102.0,,
2018-08-14,101.5,,
2018-08-15,100.5,,
2018-08-16,101.0,,
2018-08-17,100.5,,
2018-08-20,98.0,,
2018-08-21,99.6,,
2018-08-22,100.5,,
2018-08-23,100.0,,
2018-08-24,100.5,,
2018-08-27,100.5,,
2018-08-28,100.5,,
2018-08-29,100.5,,
2018-08-30,99.8,,
2018-08-31,100.0,,
2018-09-03,101.0,,
2018-09-04,100.5,,
2018-09-05,100.5,,
2018-09-06,98.0,,
2018-09-07,98.8,,
2018-09-10,98.4,,
2018-09-11,97.6,,
2018-09-12,97.2,,
2018-09-13,96.8,,
2018-09-14,97.0,,
2018-09-17,96.6,,
2018-09-18,97.0,,
2018-09-19,96.6,,
2018-09-20,96.0,,
2018-09-21,96.8,,
2018-09-24,97.0,,
2018-09-25,98.4,,
2018-09-26,99.4,,
2018-09-27,100.0,,
2018-09-28,100.0,,
2018-10-01,100.5,,
2018-10-02,101.0,,
2018-10-03,102.5,,
2018-10-04,102.0,,
2018-10-05,101.5,,
2018-10-08,100.0,,
2018-10-09,99.4,,
2018-10-10,99.4,,
2018-10-11,98.8,,
2018-10-12,99.0,,
2018-10-15,97.8,,
2018-10-16,98.6,,
2018-10-17,98.4,,
2018-10-18,98.6,,
2018-10-19,97.6,,
2018-10-22,97.2,,
2018-10-23,96.4,,
2018-10-24,96.4,,
2018-10-25,96.4,,
2018-10-26,96.0,,
2018-10-29,96.0,,
2018-10-30,95.6,,
2018-10-31,95.8,,
2018-11-01,95.4,,
2018-11-02,96.2,,
2018-11-05,95.0,,
2018-11-06,94.8,,
2018-11-07,94.8,,
2018-11-08,94.2,,
2018-11-09,94.8,,
2018-11-12,94.4,,
2018-11-13,94.8,,
2018-11-14,94.6,,
2018-11-15,94.2,,
2018-11-16,94.0,,
2018-11-19,94.4,,
2018-11-20,93.2,,
2018-11-21,92.8,,
2018-11-22,92.4,,
2018-11-23,92.0,,
2018-11-26,91.8,,
2018-11-27,92.0,,
2018-11-28,91.8,,
2018-11-29,91.8,,
2018-11-30,93.8,,
2018-12-03,93.2,,
2018-12-04,92.2,,
2018-12-05,92.0,,
2018-12-06,91.6,,
2018-12-07,92.0,,
2018-12-10,90.6,,
2018-12-11,90.8,,
2018-12-12,89.8,,
2018-12-13,89.2,,
2018-12-14,87.0,,
2018-12-17,86.0,,
2018-12-18,85.0,,
2018-12-19,84.2,,
2018-12-20,81.6,,
2018-12-21,80.8,,
2018-12-27,80.4,,
2018-12-28,80.4,,
2019-01-02,80.0,,
2019-01-03,79.8,,
2019-01-04,80.4,,
2019-01-07,80.4,,
2019-01-08,81.8,,
2019-01-09,82.2,,
2019-01-10,82.0,,
2019-01-11,83.0,,
2019-01-14,82.4,,
2019-01-15,82.6,,
2019-01-16,82.4,,
2019-01-17,83.0,,
2019-01-18,83.0,,
2019-01-21,84.0,,
2019-01-22,84.2,,
2019-01-23,84.0,,
2019-01-24,84.2,,
2019-01-25,83.4,,
2019-01-28,83.4,,
2019-01-29,84.2,,
2019-01-30,83.6,,
2019-01-31,83.2,,
2019-02-01,84.2,,
2019-02-04,84.0,,
2019-02-05,85.0,,
2019-02-06,85.0,,
2019-02-07,86.0,,
2019-02-08,86.0,,
2019-02-11,86.4,,
2019-02-12,86.6,,
2019-02-13,87.0,,
2019-02-14,86.4,,
2019-02-15,86.0,,
2019-02-18,86.8,,
2019-02-19,85.8,,
2019-02-20,85.6,,
2019-02-21,85.4,,
2019-02-22,85.6,,
2019-02-25,85.4,,
2019-02-26,85.0,,
2019-02-27,85.4,,
2019-02-28,84.8,,
2019-03-01,86.0,,
2019-03-04,86.6,,
2019-03-05,86.6,,
2019-03-06,87.0,,
2019-03-07,87.4,,
2019-03-08,85.2,,
2019-03-11,86.0,,
2019-03-12,85.4,,
2019-03-13,86.6,,
2019-03-14,86.4,,
2019-03-15,86.4,,
2019-03-18,86.4,,
2019-03-19,86.6,,
2019-03-20,86.6,,
2019-03-21,86.6,,
2019-03-22,86.2,,
2019-03-25,86.8,,
2019-03-26,86.4,,
2019-03-27,87.0,,
2019-03-28,86.2,,
2019-03-29,86.8,,
2019-04-01,86.5,,
2019-04-02,86.2,,
2019-04-03,86.6,,
2019-04-04,87.4,,
2019-04-05,87.0,,
2019-04-08,87.0,,
2019-04-09,87.2,,
2019-04-10,87.2,,
2019-04-11,87.0,,
2019-04-12,87.0,,
2019-04-15,86.6,,
2019-04-16,87.4,,
2019-04-17,87.4,,
2019-04-18,87.4,,
2019-04-23,87.8,,
2019-04-24,89.0,,
2019-04-25,89.0,,
2019-04-26,88.4,,
2019-04-29,87.8,,
2019-04-30,88.0,,
2019-05-01,88.2,,
2019-05-02,88.2,,
2019-05-03,88.2,,
2019-05-06,87.8,,
2019-05-07,88.0,,
2019-05-08,87.8,,
2019-05-09,89.4,,
2019-05-10,89.8,,
2019-05-13,90.4,,
2019-05-14,91.0,,
2019-05-15,89.0,87.366,91.31199999999994
2019-05-16,89.2,87.41799999999998,91.25299999999994
2019-05-20,89.4,87.46599999999997,91.19749999999993
2019-05-21,89.4,87.50599999999999,91.14199999999994
