Date,Closing price,50,200
2018-06-04,17.22,,
2018-06-05,16.52,,
2018-06-06,16.3,,
2018-06-07,15.88,,
2018-06-08,15.56,,
2018-06-11,16.64,,
2018-06-12,13.26,,
2018-06-13,12.92,,
2018-06-14,12.06,,
2018-06-15,12.28,,
2018-06-18,11.72,,
2018-06-19,11.98,,
2018-06-20,11.98,,
2018-06-21,11.9,,
2018-06-22,11.5,,
2018-06-25,11.22,,
2018-06-26,11.5,,
2018-06-27,11.3,,
2018-06-28,11.0,,
2018-06-29,10.6,,
2018-07-02,10.36,,
2018-07-03,10.5,,
2018-07-04,10.12,,
2018-07-05,10.2,,
2018-07-06,10.2,,
2018-07-09,10.84,,
2018-07-10,10.64,,
2018-07-11,10.74,,
2018-07-12,11.22,,
2018-07-13,12.7,,
2018-07-16,13.06,,
2018-07-17,12.54,,
2018-07-18,11.94,,
2018-07-19,12.0,,
2018-07-20,12.2,,
2018-07-23,12.02,,
2018-07-24,11.82,,
2018-07-25,12.0,,
2018-07-26,12.14,,
2018-07-27,12.22,,
2018-07-30,12.08,,
2018-07-31,11.9,,
2018-08-01,11.4,,
2018-08-02,11.12,,
2018-08-03,11.4,,
2018-08-06,11.5,,
2018-08-07,11.5,,
2018-08-08,11.2,,
2018-08-09,11.0,,
2018-08-10,11.1,,
2018-08-13,10.86,,
2018-08-14,10.66,,
2018-08-15,10.96,,
2018-08-16,11.28,,
2018-08-17,11.08,,
2018-08-20,11.1,,
2018-08-21,10.48,,
2018-08-22,10.6,,
2018-08-23,10.8,,
2018-08-24,10.48,,
2018-08-27,10.72,,
2018-08-28,10.64,,
2018-08-29,10.56,,
2018-08-30,10.48,,
2018-08-31,10.28,,
2018-09-03,12.0,,
2018-09-04,11.12,,
2018-09-05,11.38,,
2018-09-06,11.38,,
2018-09-07,11.0,,
2018-09-10,10.4,,
2018-09-11,10.46,,
2018-09-12,10.7,,
2018-09-13,10.98,,
2018-09-14,10.9,,
2018-09-17,11.0,,
2018-09-18,10.4,,
2018-09-19,10.52,,
2018-09-20,10.36,,
2018-09-21,10.2,,
2018-09-24,10.36,,
2018-09-25,10.42,,
2018-09-26,10.12,,
2018-09-27,10.62,,
2018-09-28,10.9,,
2018-10-01,10.92,,
2018-10-02,11.08,,
2018-10-03,10.56,,
2018-10-04,10.9,,
2018-10-05,11.24,,
2018-10-08,11.44,,
2018-10-09,11.6,,
2018-10-10,11.54,,
2018-10-11,11.32,,
2018-10-12,11.34,,
2018-10-15,11.2,,
2018-10-16,10.6,,
2018-10-17,10.24,,
2018-10-18,10.22,,
2018-10-19,10.08,,
2018-10-22,9.4,,
2018-10-23,8.67,,
2018-10-24,8.74,,
2018-10-25,8.58,,
2018-10-26,8.42,,
2018-10-29,8.89,,
2018-10-30,8.54,,
2018-10-31,8.75,,
2018-11-01,8.55,,
2018-11-02,8.27,,
2018-11-05,8.49,,
2018-11-06,8.5,,
2018-11-07,8.39,,
2018-11-08,8.22,,
2018-11-09,8.2,,
2018-11-12,8.03,,
2018-11-13,7.95,,
2018-11-14,7.88,,
2018-11-15,7.38,,
2018-11-16,7.73,,
2018-11-19,7.25,,
2018-11-20,7.15,,
2018-11-21,7.49,,
2018-11-22,8.0,,
2018-11-23,8.19,,
2018-11-26,8.1,,
2018-11-27,7.76,,
2018-11-28,8.85,,
2018-11-29,9.54,,
2018-11-30,8.7,,
2018-12-03,8.66,,
2018-12-04,8.94,,
2018-12-05,8.75,,
2018-12-06,8.1,,
2018-12-07,8.2,,
2018-12-10,8.14,,
2018-12-11,8.14,,
2018-12-12,7.9,,
2018-12-13,7.9,,
2018-12-14,8.0,,
2018-12-17,7.42,,
2018-12-18,7.4,,
2018-12-19,7.37,,
2018-12-20,7.22,,
2018-12-21,7.28,,
2018-12-27,7.0,,
2018-12-28,6.99,,
2019-01-02,7.75,,
2019-01-03,8.0,,
2019-01-04,8.15,,
2019-01-07,8.67,,
2019-01-08,8.55,,
2019-01-09,8.6,,
2019-01-10,8.45,,
2019-01-11,8.41,,
2019-01-14,8.43,,
2019-01-15,8.4,,
2019-01-16,8.48,,
2019-01-17,8.81,,
2019-01-18,8.95,,
2019-01-21,9.1,,
2019-01-22,9.1,,
2019-01-23,8.84,,
2019-01-24,8.4,,
2019-01-25,8.4,,
2019-01-28,8.43,,
2019-01-29,8.39,,
2019-01-30,8.32,,
2019-01-31,8.39,,
2019-02-01,8.55,,
2019-02-04,8.55,,
2019-02-05,8.42,,
2019-02-06,8.38,,
2019-02-07,8.18,,
2019-02-08,8.19,,
2019-02-11,8.2,,
2019-02-12,8.28,,
2019-02-13,8.06,,
2019-02-14,8.23,,
2019-02-15,8.22,,
2019-02-18,8.22,,
2019-02-19,8.22,,
2019-02-20,7.83,,
2019-02-21,7.98,,
2019-02-22,8.0,,
2019-02-25,8.18,,
2019-02-26,8.0,,
2019-02-27,8.31,,
2019-02-28,8.55,,
2019-03-01,8.4,,
2019-03-04,8.37,,
2019-03-05,8.39,,
2019-03-06,8.39,,
2019-03-07,8.3,,
2019-03-08,8.07,,
2019-03-11,8.12,,
2019-03-12,8.1,,
2019-03-13,8.72,,
2019-03-14,9.9,,
2019-03-15,10.12,,
2019-03-18,10.26,,
2019-03-19,10.5,,
2019-03-20,10.0,,
2019-03-21,11.2,,
2019-03-22,7.17,,
2019-03-25,6.93,,
2019-03-26,6.96,,
2019-03-27,7.01,,
2019-03-28,6.82,,
2019-03-29,6.75,,
2019-04-01,6.79,,
2019-04-02,6.8,,
2019-04-03,6.9,,
2019-04-04,6.91,,
2019-04-05,6.89,,
2019-04-08,6.8,,
2019-04-09,6.38,,
2019-04-10,6.14,,
2019-04-11,6.06,,
2019-04-12,6.21,,
2019-04-15,6.22,,
2019-04-16,6.55,,
2019-04-17,6.64,,
2019-04-18,6.64,,
2019-04-23,6.39,,
2019-04-24,6.46,,
2019-04-25,6.4,,
2019-04-26,6.34,,
2019-04-29,6.19,,
2019-04-30,6.35,,
2019-05-02,6.3,,
2019-05-03,6.38,,
2019-05-06,6.34,,
2019-05-07,6.33,,
2019-05-08,6.6,,
2019-05-09,6.35,,
2019-05-10,6.59,,
2019-05-13,6.51,,
2019-05-14,6.84,,
2019-05-15,6.9,,
2019-05-16,6.89,7.275999999999999,8.7838
2019-05-20,7.0,7.248200000000001,8.7593
2019-05-21,6.86,7.2176,8.7366
2019-05-22,6.67,7.184999999999999,8.71435
2019-05-23,5.67,7.137,8.685699999999999
2019-05-24,5.51,7.084799999999999,8.65575
2019-05-27,5.25,7.027799999999998,8.6245
2019-05-28,4.91,6.951599999999998,8.59305
2019-05-29,4.625,6.846099999999999,8.561174999999999
2019-05-31,4.3,6.729699999999999,8.527175
