Date,Closing price,50,200
2018-06-04,7.6,,
2018-06-05,7.6,,
2018-06-06,7.4,,
2018-06-07,7.55,,
2018-06-08,7.52,,
2018-06-11,7.52,,
2018-06-12,7.58,,
2018-06-13,7.55,,
2018-06-14,7.6,,
2018-06-15,7.54,,
2018-06-18,7.23,,
2018-06-19,7.1,,
2018-06-20,7.27,,
2018-06-21,7.29,,
2018-06-25,7.26,,
2018-06-26,7.26,,
2018-06-27,7.2,,
2018-06-28,7.19,,
2018-06-29,7.2,,
2018-07-02,7.11,,
2018-07-03,7.16,,
2018-07-04,7.15,,
2018-07-05,7.05,,
2018-07-06,7.0,,
2018-07-09,7.1,,
2018-07-10,7.18,,
2018-07-11,7.0,,
2018-07-12,7.15,,
2018-07-13,7.15,,
2018-07-16,7.2,,
2018-07-17,7.2,,
2018-07-18,7.19,,
2018-07-19,7.14,,
2018-07-20,7.12,,
2018-07-23,7.06,,
2018-07-24,7.09,,
2018-07-25,7.1,,
2018-07-26,7.14,,
2018-07-27,7.18,,
2018-07-30,7.09,,
2018-07-31,7.17,,
2018-08-01,7.08,,
2018-08-02,7.15,,
2018-08-03,7.15,,
2018-08-06,7.18,,
2018-08-07,7.26,,
2018-08-08,7.15,,
2018-08-09,7.25,,
2018-08-10,7.3,,
2018-08-13,7.12,,
2018-08-14,7.2,,
2018-08-15,7.17,,
2018-08-16,7.17,,
2018-08-17,7.25,,
2018-08-20,7.15,,
2018-08-21,7.12,,
2018-08-22,7.1,,
2018-08-23,7.44,,
2018-08-24,7.45,,
2018-08-27,7.6,,
2018-08-28,7.8,,
2018-08-29,7.77,,
2018-08-30,7.9,,
2018-08-31,7.75,,
2018-09-03,7.68,,
2018-09-04,7.56,,
2018-09-05,7.5,,
2018-09-06,7.6,,
2018-09-07,7.63,,
2018-09-10,7.5,,
2018-09-11,7.4,,
2018-09-12,7.42,,
2018-09-13,7.43,,
2018-09-14,7.59,,
2018-09-17,7.54,,
2018-09-18,7.48,,
2018-09-19,7.54,,
2018-09-20,7.45,,
2018-09-21,7.4,,
2018-09-24,7.45,,
2018-09-25,7.5,,
2018-09-26,7.5,,
2018-09-27,7.42,,
2018-09-28,7.49,,
2018-10-01,7.41,,
2018-10-02,7.44,,
2018-10-03,7.49,,
2018-10-04,7.36,,
2018-10-05,7.37,,
2018-10-08,7.33,,
2018-10-09,7.29,,
2018-10-10,7.14,,
2018-10-11,7.12,,
2018-10-12,7.1,,
2018-10-15,7.01,,
2018-10-16,7.22,,
2018-10-17,7.22,,
2018-10-18,7.08,,
2018-10-19,7.07,,
2018-10-22,7.03,,
2018-10-23,7.0,,
2018-10-24,7.0,,
2018-10-25,6.98,,
2018-10-26,7.03,,
2018-10-29,7.02,,
2018-10-30,7.02,,
2018-10-31,7.1,,
2018-11-01,7.15,,
2018-11-02,7.11,,
2018-11-05,7.2,,
2018-11-06,7.29,,
2018-11-07,7.15,,
2018-11-08,7.35,,
2018-11-09,7.18,,
2018-11-12,7.24,,
2018-11-13,7.19,,
2018-11-14,7.16,,
2018-11-15,7.16,,
2018-11-16,7.12,,
2018-11-19,7.11,,
2018-11-20,7.06,,
2018-11-21,6.93,,
2018-11-22,7.01,,
2018-11-23,7.02,,
2018-11-26,7.1,,
2018-11-27,7.11,,
2018-11-28,7.06,,
2018-11-29,7.08,,
2018-11-30,7.08,,
2018-12-03,7.11,,
2018-12-04,7.2,,
2018-12-05,7.11,,
2018-12-07,7.24,,
2018-12-10,7.14,,
2018-12-11,7.17,,
2018-12-12,7.3,,
2018-12-13,7.28,,
2018-12-14,7.26,,
2018-12-17,7.22,,
2018-12-18,7.15,,
2018-12-19,7.16,,
2018-12-20,7.1,,
2018-12-21,7.05,,
2018-12-27,7.0,,
2018-12-28,7.15,,
2019-01-02,7.29,,
2019-01-03,7.27,,
2019-01-04,7.45,,
2019-01-07,7.45,,
2019-01-08,7.49,,
2019-01-09,7.47,,
2019-01-10,7.5,,
2019-01-11,7.53,,
2019-01-14,7.5,,
2019-01-15,7.5,,
2019-01-16,7.4,,
2019-01-17,7.26,,
2019-01-18,7.44,,
2019-01-21,7.45,,
2019-01-22,7.45,,
2019-01-23,7.45,,
2019-01-24,7.49,,
2019-01-25,7.45,,
2019-01-28,7.45,,
2019-01-29,7.44,,
2019-01-30,7.42,,
2019-01-31,7.4,,
2019-02-01,7.43,,
2019-02-04,7.41,,
2019-02-05,7.4,,
2019-02-06,7.41,,
2019-02-07,7.45,,
2019-02-08,7.44,,
2019-02-11,7.42,,
2019-02-12,7.44,,
2019-02-13,7.39,,
2019-02-14,7.44,,
2019-02-15,7.38,,
2019-02-18,7.43,,
2019-02-19,7.4,,
2019-02-20,7.43,,
2019-02-21,7.36,,
2019-02-22,7.36,,
2019-02-25,7.4,,
2019-02-26,7.45,,
2019-02-27,7.41,,
2019-02-28,7.45,,
2019-03-01,7.44,,
2019-03-04,7.48,,
2019-03-05,7.45,,
2019-03-06,7.45,,
2019-03-07,7.45,,
2019-03-08,7.64,,
2019-03-11,7.67,,
2019-03-12,7.75,,
2019-03-13,7.88,,
2019-03-14,8.52,,
2019-03-15,8.82,,
2019-03-18,8.85,,
2019-03-19,8.95,,
2019-03-20,9.0,,
2019-03-21,9.1,,
2019-03-22,9.14,,
2019-03-25,9.05,,
2019-03-26,9.02,,
2019-03-27,8.99,,
2019-03-28,8.9,,
2019-03-29,9.0,,
2019-04-01,9.04,,
2019-04-02,9.06,,
2019-04-03,9.1,,
