Date,Closing price,50,200
2018-06-04,146.6,,
2018-06-05,146.8,,
2018-06-07,144.6,,
2018-06-08,142.0,,
2018-06-11,140.2,,
2018-06-12,138.6,,
2018-06-13,145.4,,
2018-06-14,144.0,,
2018-06-15,141.6,,
2018-06-18,143.0,,
2018-06-19,142.0,,
2018-06-20,142.0,,
2018-06-21,140.0,,
2018-06-25,139.8,,
2018-06-26,140.6,,
2018-06-27,140.0,,
2018-06-28,140.2,,
2018-06-29,141.8,,
2018-07-02,139.8,,
2018-07-03,141.8,,
2018-07-04,139.8,,
2018-07-05,140.4,,
2018-07-06,140.0,,
2018-07-09,139.2,,
2018-07-10,140.0,,
2018-07-11,137.4,,
2018-07-12,137.4,,
2018-07-13,135.4,,
2018-07-16,135.8,,
2018-07-17,137.4,,
2018-07-18,138.6,,
2018-07-19,139.6,,
2018-07-20,139.4,,
2018-07-23,139.4,,
2018-07-24,139.6,,
2018-07-25,142.0,,
2018-07-26,143.0,,
2018-07-27,142.4,,
2018-07-30,145.0,,
2018-07-31,142.2,,
2018-08-01,141.0,,
2018-08-02,140.0,,
2018-08-03,140.2,,
2018-08-06,139.0,,
2018-08-07,139.6,,
2018-08-08,142.0,,
2018-08-09,140.4,,
2018-08-10,141.2,,
2018-08-13,140.6,,
2018-08-14,143.4,,
2018-08-15,143.8,,
2018-08-16,143.6,,
2018-08-17,144.4,,
2018-08-20,145.2,,
2018-08-21,151.4,,
2018-08-22,153.0,,
2018-08-23,152.8,,
2018-08-24,149.0,,
2018-08-27,153.2,,
2018-08-28,150.0,,
2018-08-29,148.2,,
2018-08-30,151.6,,
2018-08-31,151.6,,
2018-09-03,151.0,,
2018-09-04,150.0,,
2018-09-05,150.0,,
2018-09-06,150.6,,
2018-09-07,148.4,,
2018-09-10,149.4,,
2018-09-11,147.2,,
2018-09-12,147.0,,
2018-09-13,148.6,,
2018-09-14,147.8,,
2018-09-17,149.2,,
2018-09-18,149.0,,
2018-09-19,150.0,,
2018-09-20,151.8,,
2018-09-21,150.6,,
2018-09-24,151.2,,
2018-09-25,148.0,,
2018-09-26,148.8,,
2018-09-27,148.0,,
2018-09-28,151.6,,
2018-10-01,154.2,,
2018-10-02,152.2,,
2018-10-03,154.0,,
2018-10-04,150.8,,
2018-10-05,147.4,,
2018-10-08,146.8,,
2018-10-09,144.4,,
2018-10-10,143.0,,
2018-10-11,137.0,,
2018-10-12,140.0,,
2018-10-15,136.4,,
2018-10-16,139.4,,
2018-10-17,138.8,,
2018-10-18,138.6,,
2018-10-19,138.0,,
2018-10-22,140.6,,
2018-10-23,134.6,,
2018-10-24,136.6,,
2018-10-25,132.2,,
2018-10-26,130.0,,
2018-10-29,133.0,,
2018-10-30,135.0,,
2018-10-31,140.0,,
2018-11-01,136.8,,
2018-11-02,138.2,,
2018-11-05,136.8,,
2018-11-06,137.2,,
2018-11-07,143.6,,
2018-11-08,144.0,,
2018-11-09,142.0,,
2018-11-12,140.0,,
2018-11-13,136.0,,
2018-11-14,134.4,,
2018-11-15,131.2,,
2018-11-16,132.0,,
2018-11-19,127.2,,
2018-11-20,124.0,,
2018-11-21,127.2,,
2018-11-22,126.4,,
2018-11-23,126.2,,
2018-11-26,129.4,,
2018-11-27,130.8,,
2018-11-28,129.6,,
2018-11-29,129.6,,
2018-11-30,128.8,,
2018-12-03,128.8,,
2018-12-04,126.0,,
2018-12-05,125.6,,
2018-12-06,123.0,,
2018-12-07,121.8,,
2018-12-10,118.0,,
2018-12-11,121.2,,
2018-12-12,126.8,,
2018-12-13,122.0,,
2018-12-14,122.0,,
2018-12-17,120.4,,
2018-12-18,118.2,,
2018-12-19,120.6,,
2018-12-20,121.0,,
2018-12-21,122.0,,
2018-12-27,126.0,,
2018-12-28,126.8,,
2019-01-02,127.2,,
2019-01-03,127.0,,
2019-01-04,129.2,,
2019-01-07,131.0,,
2019-01-08,132.0,,
2019-01-09,134.0,,
2019-01-10,131.2,,
2019-01-11,129.0,,
2019-01-14,125.6,,
2019-01-15,125.0,,
2019-01-16,127.8,,
2019-01-17,130.0,,
2019-01-18,128.8,,
2019-01-21,130.2,,
2019-01-22,131.0,,
2019-01-23,131.8,,
2019-01-24,132.0,,
2019-01-25,129.4,,
2019-01-28,128.6,,
2019-01-29,129.0,,
2019-01-30,127.2,,
2019-01-31,129.4,,
2019-02-01,127.0,,
2019-02-04,129.0,,
2019-02-05,129.2,,
2019-02-06,128.6,,
2019-02-07,128.8,,
2019-02-08,129.2,,
2019-02-11,131.0,,
2019-02-12,131.0,,
2019-02-13,131.0,,
2019-02-14,131.0,,
2019-02-15,130.4,,
2019-02-18,139.0,,
2019-02-19,133.4,,
2019-02-20,133.8,,
2019-02-21,132.0,,
2019-02-22,135.0,,
2019-02-25,135.0,,
2019-02-26,135.4,,
2019-02-27,137.0,,
2019-02-28,136.6,,
2019-03-01,137.6,,
