Date,Closing price,50,200
2018-06-04,109.6,,
2018-06-05,111.6,,
2018-06-07,113.0,,
2018-06-08,117.0,,
2018-06-11,118.8,,
2018-06-12,119.8,,
2018-06-13,120.2,,
2018-06-14,118.0,,
2018-06-15,116.8,,
2018-06-18,117.0,,
2018-06-19,117.0,,
2018-06-20,116.2,,
2018-06-21,116.0,,
2018-06-25,115.8,,
2018-06-26,115.2,,
2018-06-27,114.4,,
2018-06-28,112.4,,
2018-06-29,115.0,,
2018-07-02,114.0,,
2018-07-03,114.0,,
2018-07-04,118.4,,
2018-07-05,120.2,,
2018-07-06,120.4,,
2018-07-09,122.0,,
2018-07-10,121.0,,
2018-07-11,120.8,,
2018-07-12,123.4,,
2018-07-13,123.0,,
2018-07-16,124.8,,
2018-07-17,123.4,,
2018-07-18,123.4,,
2018-07-19,123.4,,
2018-07-20,124.2,,
2018-07-23,131.4,,
2018-07-24,140.0,,
2018-07-25,145.0,,
2018-07-26,146.6,,
2018-07-27,147.0,,
2018-07-30,145.8,,
2018-07-31,145.0,,
2018-08-01,143.0,,
2018-08-02,148.6,,
2018-08-03,154.0,,
2018-08-06,153.8,,
2018-08-07,157.0,,
2018-08-08,156.6,,
2018-08-09,153.0,,
2018-08-10,157.6,,
2018-08-13,154.8,,
2018-08-14,154.6,,
2018-08-15,159.4,,
2018-08-16,165.0,,
2018-08-17,165.6,,
2018-08-20,165.0,,
2018-08-21,166.8,,
2018-08-22,165.6,,
2018-08-23,167.8,,
2018-08-24,166.0,,
2018-08-27,164.0,,
2018-08-28,164.0,,
2018-08-29,163.6,,
2018-08-30,164.0,,
2018-08-31,163.8,,
2018-09-03,165.4,,
2018-09-04,164.0,,
2018-09-05,159.8,,
2018-09-06,161.0,,
2018-09-07,161.0,,
2018-09-10,162.6,,
2018-09-11,157.8,,
2018-09-12,158.2,,
2018-09-13,158.2,,
2018-09-14,158.0,,
2018-09-17,155.6,,
2018-09-18,153.8,,
2018-09-19,153.0,,
2018-09-20,152.8,,
2018-09-21,152.4,,
2018-09-24,148.4,,
2018-09-25,145.0,,
2018-09-26,144.4,,
2018-09-27,145.0,,
2018-09-28,146.6,,
2018-10-01,148.0,,
2018-10-02,146.0,,
2018-10-03,151.0,,
2018-10-04,148.0,,
2018-10-05,148.0,,
2018-10-08,145.4,,
2018-10-09,144.0,,
2018-10-10,142.8,,
2018-10-11,143.0,,
2018-10-12,143.0,,
2018-10-15,142.8,,
2018-10-16,144.6,,
2018-10-17,145.8,,
2018-10-18,146.6,,
2018-10-19,150.0,,
2018-10-22,147.8,,
2018-10-23,146.6,,
2018-10-24,140.0,,
2018-10-25,140.0,,
2018-10-26,134.0,,
2018-10-29,132.6,,
2018-10-30,132.0,,
2018-10-31,137.4,,
2018-11-01,136.4,,
2018-11-02,137.0,,
2018-11-05,137.0,,
2018-11-06,137.0,,
2018-11-07,137.0,,
2018-11-08,134.2,,
2018-11-09,134.2,,
2018-11-12,133.4,,
2018-11-13,132.6,,
2018-11-14,131.0,,
2018-11-15,131.2,,
2018-11-16,129.4,,
2018-11-19,128.0,,
2018-11-20,126.4,,
2018-11-21,126.8,,
2018-11-22,124.4,,
2018-11-23,123.2,,
2018-11-26,121.8,,
2018-11-27,121.0,,
2018-11-28,124.4,,
2018-11-29,136.8,,
2018-11-30,145.4,,
2018-12-03,149.0,,
2018-12-04,145.6,,
2018-12-05,140.4,,
2018-12-06,136.0,,
2018-12-07,136.8,,
2018-12-10,136.4,,
2018-12-11,136.8,,
2018-12-12,137.4,,
2018-12-13,137.0,,
2018-12-14,138.6,,
2018-12-17,138.6,,
2018-12-18,138.0,,
2018-12-19,136.8,,
2018-12-20,134.2,,
2018-12-21,131.4,,
2018-12-27,129.8,,
2018-12-28,132.0,,
2019-01-02,132.0,,
2019-01-03,130.2,,
2019-01-04,133.6,,
2019-01-07,136.8,,
2019-01-08,136.6,,
2019-01-09,136.0,,
2019-01-10,135.4,,
2019-01-11,135.2,,
2019-01-14,131.0,,
2019-01-15,133.4,,
2019-01-16,133.0,,
2019-01-17,132.2,,
2019-01-18,133.0,,
2019-01-21,132.0,,
2019-01-22,130.0,,
2019-01-23,129.4,,
2019-01-24,129.4,,
2019-01-25,130.0,,
2019-01-28,127.8,,
2019-01-29,128.0,,
2019-01-30,128.0,,
2019-01-31,129.4,,
2019-02-01,131.4,,
2019-02-04,131.2,,
2019-02-05,132.6,,
2019-02-06,133.8,,
2019-02-07,136.0,,
2019-02-08,142.0,,
2019-02-11,156.8,,
2019-02-12,156.6,,
2019-02-13,158.4,,
2019-02-14,160.2,,
2019-02-15,159.0,,
2019-02-18,160.8,,
2019-02-19,159.8,,
2019-02-20,161.0,,
2019-02-21,160.0,,
2019-02-22,161.8,,
2019-02-25,163.6,,
2019-02-26,163.8,,
2019-02-27,164.0,,
2019-02-28,166.8,,
2019-03-01,175.4,,
2019-03-04,182.0,,
2019-03-05,189.0,,
2019-03-06,179.0,,
2019-03-07,171.6,,
2019-03-08,170.2,,
2019-03-11,169.8,,
2019-03-12,170.4,,
2019-03-13,179.4,,
2019-03-14,181.0,,
2019-03-15,181.8,,
2019-03-18,181.6,,
2019-03-19,185.8,,
2019-03-20,175.4,,
2019-03-21,173.6,,
2019-03-22,167.0,,
2019-03-25,167.0,,
2019-03-26,166.6,,
2019-03-27,166.4,,
2019-03-28,163.8,,
2019-03-29,163.4,,
2019-04-01,164.2,,
2019-04-02,164.4,,
2019-04-03,164.2,,
2019-04-04,164.2,,
2019-04-05,165.0,,
2019-04-08,164.2,,
2019-04-09,162.4,,
2019-04-10,162.8,,
2019-04-11,166.8,,
2019-04-12,167.0,,
2019-04-15,170.0,,
2019-04-16,174.4,,
2019-04-17,174.2,,
2019-04-18,172.2,,
2019-04-23,170.4,,
2019-04-24,162.8,,
2019-04-25,163.0,,
2019-04-26,165.0,,
2019-04-29,181.2,,
2019-04-30,185.0,,
2019-05-02,179.4,,
2019-05-03,180.0,,
2019-05-06,181.8,,
2019-05-07,183.0,,
2019-05-08,183.0,,
2019-05-09,183.0,,
2019-05-10,187.8,,
2019-05-13,192.0,,
2019-05-14,192.0,,
2019-05-15,195.6,,
2019-05-16,194.0,,
2019-05-17,193.6,,
2019-05-20,194.8,,
2019-05-21,195.0,175.23199999999997,153.14199999999994
2019-05-22,192.4,175.67599999999996,153.33399999999992
2019-05-23,189.0,176.05999999999997,153.50999999999993
2019-05-24,183.0,176.31199999999993,153.63999999999993
2019-05-27,181.0,176.34399999999994,153.76199999999994
2019-05-28,183.6,176.39599999999996,153.91499999999994
2019-05-29,179.2,176.34399999999994,154.02299999999994
2019-05-31,186.2,176.43599999999995,154.17999999999995
2019-06-03,189.6,176.51199999999997,154.35499999999993
2019-06-04,187.2,176.74799999999996,154.49399999999991
