Date,Closing price,50,200
2018-06-04,4.4,,
2018-06-05,4.31,,
2018-06-07,3.948,,
2018-06-08,3.7,,
2018-06-11,3.62,,
2018-06-12,3.854,,
2018-06-13,3.592,,
2018-06-14,3.75,,
2018-06-15,3.66,,
2018-06-18,3.53,,
2018-06-19,3.65,,
2018-06-20,3.57,,
2018-06-21,3.512,,
2018-06-25,3.576,,
2018-06-26,3.57,,
2018-06-27,3.6,,
2018-06-28,3.502,,
2018-06-29,3.636,,
2018-07-02,3.4,,
2018-07-03,3.25,,
2018-07-04,3.312,,
2018-07-05,3.12,,
2018-07-06,3.1,,
2018-07-09,3.062,,
2018-07-10,2.964,,
2018-07-11,2.77,,
2018-07-12,2.822,,
2018-07-13,2.904,,
2018-07-16,2.966,,
2018-07-17,3.052,,
2018-07-18,3.04,,
2018-07-19,3.06,,
2018-07-20,3.05,,
2018-07-23,3.13,,
2018-07-24,3.268,,
2018-07-25,3.09,,
2018-07-26,3.1,,
2018-07-27,3.082,,
2018-07-30,2.952,,
2018-07-31,2.81,,
2018-08-01,2.94,,
2018-08-02,2.894,,
2018-08-03,3.024,,
2018-08-06,3.028,,
2018-08-07,3.072,,
2018-08-08,3.038,,
2018-08-09,3.03,,
2018-08-10,3.058,,
2018-08-13,3.056,,
2018-08-14,2.998,,
2018-08-15,2.954,,
2018-08-16,2.922,,
2018-08-17,2.86,,
2018-08-20,2.848,,
2018-08-21,2.814,,
2018-08-22,2.684,,
2018-08-23,2.75,,
2018-08-24,2.76,,
2018-08-27,2.794,,
2018-08-28,2.702,,
2018-08-29,2.716,,
2018-08-30,2.708,,
2018-08-31,2.79,,
2018-09-03,2.722,,
2018-09-04,2.684,,
2018-09-05,2.62,,
2018-09-06,2.74,,
2018-09-07,2.78,,
2018-09-10,2.72,,
2018-09-11,2.726,,
2018-09-12,2.814,,
2018-09-13,3.144,,
2018-09-14,2.926,,
2018-09-17,3.036,,
2018-09-18,2.902,,
2018-09-19,2.9,,
2018-09-20,3.058,,
2018-09-21,2.996,,
2018-09-24,2.986,,
2018-09-25,2.98,,
2018-09-26,2.82,,
2018-09-27,2.896,,
2018-09-28,2.78,,
2018-10-01,2.73,,
2018-10-02,2.68,,
2018-10-03,2.688,,
2018-10-04,2.74,,
2018-10-05,2.866,,
2018-10-08,2.8,,
2018-10-09,2.778,,
2018-10-10,2.95,,
2018-10-11,2.82,,
2018-10-12,2.786,,
2018-10-15,2.746,,
2018-10-16,2.84,,
2018-10-17,2.8,,
2018-10-18,2.84,,
2018-10-19,2.832,,
2018-10-22,2.798,,
2018-10-23,2.62,,
2018-10-24,2.65,,
2018-10-25,2.552,,
2018-10-26,2.62,,
2018-10-29,2.588,,
2018-10-30,2.6,,
2018-10-31,2.64,,
2018-11-01,2.726,,
2018-11-02,2.704,,
2018-11-05,2.684,,
2018-11-06,2.576,,
2018-11-07,2.544,,
2018-11-08,2.56,,
2018-11-09,2.596,,
2018-11-12,2.51,,
2018-11-13,2.55,,
2018-11-14,2.534,,
2018-11-15,2.402,,
2018-11-16,2.528,,
2018-11-19,2.404,,
2018-11-20,2.23,,
2018-11-21,2.59,,
2018-11-22,2.698,,
2018-11-23,2.6,,
2018-11-26,2.508,,
2018-11-27,2.448,,
2018-11-28,2.512,,
2018-11-29,2.034,,
2018-11-30,2.14,,
2018-12-03,2.116,,
2018-12-04,2.088,,
2018-12-05,2.12,,
2018-12-06,1.95,,
2018-12-07,2.08,,
2018-12-10,2.092,,
2018-12-11,1.96,,
2018-12-12,2.07,,
2018-12-13,2.096,,
2018-12-14,2.13,,
2018-12-17,2.02,,
2018-12-18,1.85,,
2018-12-19,1.9,,
2018-12-20,1.89,,
2018-12-21,1.861,,
2018-12-27,1.675,,
2018-12-28,1.718,,
2019-01-02,1.868,,
2019-01-03,1.9,,
2019-01-04,1.906,,
2019-01-07,2.04,,
2019-01-08,2.466,,
2019-01-09,2.45,,
2019-01-10,2.27,,
2019-01-11,2.2,,
2019-01-14,2.154,,
2019-01-15,2.11,,
2019-01-16,2.2,,
2019-01-17,2.114,,
2019-01-18,2.17,,
2019-01-21,2.188,,
2019-01-22,2.09,,
2019-01-23,2.272,,
2019-01-24,2.276,,
2019-01-25,2.284,,
2019-01-28,2.23,,
2019-01-29,2.202,,
2019-01-30,2.222,,
2019-01-31,2.206,,
2019-02-01,2.24,,
2019-02-04,2.24,,
2019-02-05,2.06,,
2019-02-06,2.178,,
2019-02-07,2.27,,
2019-02-08,2.282,,
2019-02-11,2.258,,
2019-02-12,2.15,,
2019-02-13,2.16,,
2019-02-14,2.158,,
2019-02-15,2.08,,
2019-02-18,2.146,,
2019-02-19,2.028,,
2019-02-20,1.959,,
2019-02-21,1.999,,
2019-02-22,1.173,,
2019-02-25,1.22,,
2019-02-26,1.238,,
2019-02-27,1.185,,
2019-02-28,1.168,,
2019-03-01,1.178,,
2019-03-04,1.23,,
2019-03-05,1.239,,
2019-03-06,1.197,,
2019-03-07,1.149,,
2019-03-08,1.075,,
2019-03-11,1.111,,
2019-03-12,1.149,,
2019-03-13,1.126,,
2019-03-14,1.075,,
2019-03-15,1.08,,
2019-03-18,1.057,,
2019-03-19,1.055,,
2019-03-20,1.059,,
