Date,Closing price,50,200
2018-06-04,13.15,,
2018-06-05,13.1,,
2018-06-06,13.0,,
2018-06-07,13.1,,
2018-06-08,13.1,,
2018-06-11,13.05,,
2018-06-12,13.15,,
2018-06-13,13.25,,
2018-06-14,13.25,,
2018-06-15,13.25,,
2018-06-18,13.5,,
2018-06-19,13.45,,
2018-06-20,13.3,,
2018-06-21,13.2,,
2018-06-25,13.4,,
2018-06-26,13.4,,
2018-06-27,13.4,,
2018-06-28,13.3,,
2018-06-29,13.5,,
2018-07-02,13.3,,
2018-07-03,13.2,,
2018-07-04,13.2,,
2018-07-05,13.1,,
2018-07-06,13.1,,
2018-07-09,13.15,,
2018-07-10,13.4,,
2018-07-11,13.1,,
2018-07-12,13.2,,
2018-07-13,13.35,,
2018-07-16,13.4,,
2018-07-17,13.3,,
2018-07-18,13.3,,
2018-07-19,13.45,,
2018-07-20,13.85,,
2018-07-23,13.95,,
2018-07-24,14.0,,
2018-07-25,13.85,,
2018-07-26,14.0,,
2018-07-27,13.9,,
2018-07-30,14.0,,
2018-07-31,14.0,,
2018-08-01,13.85,,
2018-08-02,13.95,,
2018-08-03,13.9,,
2018-08-06,13.85,,
2018-08-07,14.0,,
2018-08-08,14.05,,
2018-08-09,14.05,,
2018-08-10,13.85,,
2018-08-13,13.85,,
2018-08-14,13.7,,
2018-08-15,13.65,,
2018-08-16,13.6,,
2018-08-17,13.6,,
2018-08-20,13.6,,
2018-08-21,13.55,,
2018-08-22,13.5,,
2018-08-23,13.5,,
2018-08-24,13.65,,
2018-08-27,13.65,,
2018-08-28,13.9,,
2018-08-29,13.9,,
2018-08-30,13.85,,
2018-08-31,13.95,,
2018-09-03,13.7,,
2018-09-04,13.6,,
2018-09-05,13.65,,
2018-09-06,13.55,,
2018-09-07,13.65,,
2018-09-10,13.65,,
2018-09-11,13.55,,
2018-09-12,13.55,,
2018-09-13,13.6,,
2018-09-14,13.6,,
2018-09-17,13.65,,
2018-09-18,13.65,,
2018-09-19,13.6,,
2018-09-20,13.7,,
2018-09-21,13.7,,
2018-09-24,13.9,,
2018-09-25,13.85,,
2018-09-26,14.0,,
2018-09-27,13.85,,
2018-09-28,13.85,,
2018-10-01,13.8,,
2018-10-02,13.8,,
2018-10-03,13.75,,
2018-10-04,13.6,,
2018-10-05,13.5,,
2018-10-08,13.55,,
2018-10-09,13.6,,
2018-10-10,13.0,,
2018-10-11,13.15,,
2018-10-12,13.15,,
2018-10-15,13.3,,
2018-10-16,13.4,,
2018-10-17,13.3,,
2018-10-18,13.45,,
2018-10-19,13.25,,
2018-10-22,13.35,,
2018-10-23,13.35,,
2018-10-24,13.4,,
2018-10-25,13.5,,
2018-10-26,13.25,,
2018-10-29,13.25,,
2018-10-30,13.45,,
2018-10-31,13.6,,
2018-11-01,13.5,,
2018-11-02,13.4,,
2018-11-05,13.2,,
2018-11-06,13.4,,
2018-11-07,13.35,,
2018-11-08,13.4,,
2018-11-09,13.4,,
2018-11-12,13.35,,
2018-11-13,13.35,,
2018-11-14,13.55,,
2018-11-15,13.25,,
2018-11-16,13.35,,
2018-11-19,13.3,,
2018-11-20,13.45,,
2018-11-21,13.25,,
2018-11-22,13.3,,
2018-11-23,13.35,,
2018-11-26,13.5,,
2018-11-27,13.6,,
2018-11-28,13.5,,
2018-11-29,13.5,,
2018-11-30,13.45,,
2018-12-03,13.6,,
2018-12-04,13.4,,
2018-12-05,13.25,,
2018-12-07,13.35,,
2018-12-10,13.4,,
2018-12-11,13.4,,
2018-12-12,13.2,,
2018-12-13,13.25,,
2018-12-14,13.35,,
2018-12-17,13.15,,
2018-12-18,13.1,,
2018-12-19,13.15,,
2018-12-20,13.15,,
2018-12-21,13.1,,
2018-12-27,13.0,,
2018-12-28,13.1,,
2019-01-02,13.1,,
2019-01-03,13.05,,
2019-01-04,13.1,,
2019-01-07,13.1,,
2019-01-08,13.1,,
2019-01-09,13.1,,
2019-01-10,13.1,,
2019-01-11,13.1,,
2019-01-14,13.1,,
2019-01-15,13.0,,
2019-01-16,13.05,,
2019-01-17,13.05,,
2019-01-18,13.1,,
2019-01-21,13.1,,
2019-01-22,13.1,,
2019-01-23,13.1,,
2019-01-24,13.1,,
2019-01-25,13.1,,
2019-01-28,13.1,,
2019-01-29,13.1,,
2019-01-30,13.05,,
2019-01-31,13.1,,
2019-02-01,13.1,,
2019-02-04,13.5,,
2019-02-05,13.95,,
2019-02-06,13.6,,
2019-02-07,13.75,,
2019-02-08,13.75,,
2019-02-11,14.05,,
2019-02-12,13.85,,
2019-02-13,13.95,,
2019-02-14,13.9,,
2019-02-15,13.85,,
2019-02-18,14.0,,
2019-02-19,14.0,,
2019-02-20,13.95,,
2019-02-21,13.8,,
2019-02-22,13.9,,
2019-02-25,13.95,,
2019-02-26,13.9,,
2019-02-27,13.8,,
2019-02-28,14.0,,
2019-03-01,13.9,,
2019-03-04,13.9,,
2019-03-05,13.85,,
2019-03-06,14.0,,
2019-03-07,14.0,,
2019-03-08,13.8,,
2019-03-11,14.0,,
2019-03-12,14.0,,
2019-03-13,14.0,,
2019-03-14,14.0,,
2019-03-15,14.0,,
2019-03-18,14.15,,
2019-03-19,14.15,,
2019-03-20,14.15,,
2019-03-21,14.15,,
2019-03-22,14.15,,
2019-03-25,14.15,,
2019-03-26,14.15,,
2019-03-27,14.1,,
2019-03-28,14.35,,
2019-03-29,14.2,,
2019-04-01,14.2,,
2019-04-02,14.45,,
2019-04-03,14.4,,
2019-04-04,13.75,,
2019-04-05,13.65,,
2019-04-08,13.65,,
2019-04-09,13.55,,
2019-04-10,13.7,,
2019-04-11,14.0,,
2019-04-12,14.1,,
2019-04-15,14.0,,
2019-04-16,14.1,,
2019-04-17,14.1,,
2019-04-18,13.9,,
2019-04-23,14.15,,
2019-04-24,13.9,,
2019-04-25,14.1,,
2019-04-26,14.1,,
2019-04-29,14.35,,
2019-04-30,14.4,,
2019-05-02,14.5,,
2019-05-03,14.55,,
2019-05-06,14.4,,
2019-05-07,14.5,,
2019-05-08,14.5,,
2019-05-09,14.5,,
2019-05-10,14.3,,
2019-05-13,13.5,,
2019-05-14,13.9,,
2019-05-15,14.05,,
2019-05-16,14.05,,
2019-05-17,14.0,,
2019-05-20,13.9,,
2019-05-21,14.0,14.093999999999994,13.655749999999989
2019-05-22,14.0,14.097999999999995,13.65599999999999
2019-05-23,13.9,14.095999999999997,13.65599999999999
2019-05-24,14.2,14.1,13.657749999999991
2019-05-27,14.0,14.1,13.657749999999995
2019-05-28,13.85,14.097000000000001,13.656749999999994
2019-05-29,14.0,14.097000000000001,13.656499999999989
2019-05-31,14.0,14.094000000000003,13.657249999999992
2019-06-03,14.0,14.091000000000001,13.657999999999992
2019-06-04,14.1,14.090000000000002,13.659999999999991
