Stock Name,Score,Type,Date
Byggmax,0.0044442635162400546,Positive,2019-05-31
Byggmax,0.003506161773513261,Positive,2019-05-30
Byggmax,0.003754289182911874,Positive,2019-05-29
Byggmax,0.0039618500004428014,Positive,2019-05-28
Byggmax,0.004386101787432373,Positive,2019-05-27
Byggmax,0.0028405127182015155,Positive,2019-05-26
Byggmax,0.0024531976823065627,Positive,2019-05-25
Qliro Group,0.0035361347898129614,Positive,2019-05-28
Qliro Group,0.003544273090264616,Positive,2019-05-27
Qliro Group,0.002869889211632559,Positive,2019-05-26
Qliro Group,0.0008810269963618333,Positive,2019-05-25
Cloetta,0.005195733461573759,Positive,2019-06-02
Cloetta,0.005397020442239331,Positive,2019-06-01
Cloetta,0.005212365771817051,Positive,2019-05-31
Cloetta,0.005123693781882599,Positive,2019-05-30
Cloetta,0.005393533301338849,Positive,2019-05-29
Cloetta,0.005287470631837321,Positive,2019-05-28
Cloetta,0.005001792084532886,Positive,2019-05-27
Cloetta,0.004819901881509825,Positive,2019-05-26
Cloetta,0.004153782867524214,Positive,2019-05-25
Duni,0.0017359676510940725,Positive,2019-05-31
Duni,0.0013051759071863733,Positive,2019-05-30
Duni,0.0012577592497319268,Positive,2019-05-29
Duni,0.0012575969855530555,Positive,2019-05-28
Duni,0.0005874640724680136,Positive,2019-05-27
Duni,0.00035442283841879973,Positive,2019-05-26
Duni,0.0003359827819420236,Positive,2019-05-25
Duroc,0.0013350887980695392,Negative,2019-05-28
Duroc,0.000631182155429566,Negative,2019-05-27
Duroc,0.000872967997379015,Negative,2019-05-26
Duroc,0.000408641240066121,Negative,2019-05-25
Elanders,0.0015572944907499275,Negative,2019-05-26
Elanders,0.0011078439993325029,Negative,2019-05-25
Electra Gruppen,0.0015943671663097847,Negative,2019-05-27
Electra Gruppen,0.0013661007965645178,Negative,2019-05-26
Electra Gruppen,0.0014611002633323489,Negative,2019-05-25
Havsfrun Investment,0.0019426335764654024,Negative,2019-05-30
Havsfrun Investment,0.002307704707276814,Negative,2019-05-29
Havsfrun Investment,0.0021071901659834857,Negative,2019-05-28
Havsfrun Investment,0.001614125286536816,Negative,2019-05-27
Havsfrun Investment,0.0018685078098789054,Negative,2019-05-26
Havsfrun Investment,0.0016638727494752148,Negative,2019-05-25
Image Systems,0.0055381346048933855,Positive,2019-05-26
Image Systems,0.005827324592384109,Positive,2019-05-25
NAXS Nordic Access,0.000959495287125689,Positive,2019-05-30
NAXS Nordic Access,0.0010808032053695182,Positive,2019-05-29
NAXS Nordic Access,0.0022198524802050645,Positive,2019-05-28
NAXS Nordic Access,0.001705871999787556,Positive,2019-05-27
NAXS Nordic Access,0.0015806777285540807,Positive,2019-05-26
NAXS Nordic Access,0.0015984867596836594,Positive,2019-05-25
RaySearch Laboratories,0.004722363690888631,Positive,2019-05-30
RaySearch Laboratories,0.004712862362690418,Positive,2019-05-29
RaySearch Laboratories,0.004739969090292728,Positive,2019-05-28
RaySearch Laboratories,0.004827316847789698,Positive,2019-05-27
RaySearch Laboratories,0.0038280104694354833,Positive,2019-05-26
RaySearch Laboratories,0.0032312807361498663,Positive,2019-05-25
